,tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,text,expanded_urls,rating_10_scale,dog_name,dog_stage,user_source,favorite_count,retweet_count,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
0,667443425659232256,nan,nan,2015-11-19 20:44:47,Exotic dog here. Long neck. Weird paws. Obsessed with bread. Waddles. Flies sometimes (wow!). Very happy dog. 6/10 https://t.co/rqO4I3nf2N,https://twitter.com/dog_rates/status/667443425659232256/photo/1,6.0,NaN,None,Twitter for iPhone,814,610,,,,,,,,,,,
1,667453023279554560,nan,nan,2015-11-19 21:22:56,Meet Cupcake. I would do unspeakable things for Cupcake. 11/10 https://t.co/6uLCWR9Efa,https://twitter.com/dog_rates/status/667453023279554560/photo/1,11.0,Cupcake,None,Twitter Web Client,321,95,https://pbs.twimg.com/media/CUNE_OSUwAAdHhX.jpg,1.0,Labrador retriever,0.8256700000000001,True,Labrador retriever,0.0566394,True,Labrador retriever,0.0540184,True
2,667455448082227200,nan,nan,2015-11-19 21:32:34,This is Reese and Twips. Reese protects Twips. Both think they're too good for seat belts. Simply reckless. 7/10s https://t.co/uLzRi1drVK,https://twitter.com/dog_rates/status/667455448082227200/photo/1,7.0,Reese,None,Twitter Web Client,198,65,https://pbs.twimg.com/media/CUNHMXTU8AAS3HH.jpg,1.0,Tibetan terrier,0.676376,True,Tibetan terrier,0.054933400000000014,True,Tibetan terrier,0.0405755,True
3,667470559035432960,nan,nan,2015-11-19 22:32:36,This is a northern Wahoo named Kohl. He runs this town. Chases tumbleweeds. Draws gun wicked fast. 11/10 legendary https://t.co/J4vn2rOYFk,https://twitter.com/dog_rates/status/667470559035432960/photo/1,11.0,Kohl,None,Twitter Web Client,269,101,https://pbs.twimg.com/media/CUNU78YWEAECmpB.jpg,1.0,Toy poodle,0.304175,True,Toy poodle,0.223427,True,Toy poodle,0.07331649999999999,True
4,667491009379606528,nan,nan,2015-11-19 23:53:52,Two dogs in this one. Both are rare Jujitsu Pythagoreans. One slightly whiter than other. Long legs. 7/10 and 8/10 https://t.co/ITxxcc4v9y,https://twitter.com/dog_rates/status/667491009379606528/photo/1,7.0,NaN,None,Twitter Web Client,553,237,https://pbs.twimg.com/media/CUNniSlUYAEj1Jl.jpg,1.0,Borzoi,0.852088,True,Borzoi,0.13226400000000002,False,Borzoi,0.00572998,False
5,667495797102141441,nan,nan,2015-11-20 00:12:54,This is Philippe from Soviet Russia. Commanding leader. Misplaced other boot. Hung flag himself. 9/10 charismatic af https://t.co/5NhPV8E45i,https://twitter.com/dog_rates/status/667495797102141441/photo/1,9.0,Philippe,None,Twitter Web Client,550,290,https://pbs.twimg.com/media/CUNr4-7UwAAg2lq.jpg,1.0,Chihuahua,0.143957,True,Chihuahua,0.118651,False,Chihuahua,0.0924817,False
6,667502640335572993,nan,nan,2015-11-20 00:40:05,Say hello to Hall and Oates. Oates is winking and Hall is contemplating the artistic entropy of the universe. 11/10s https://t.co/n5Wtb5Hvsl,https://twitter.com/dog_rates/status/667502640335572993/photo/1,11.0,Hall,None,Twitter Web Client,555,228,https://pbs.twimg.com/media/CUNyHTMUYAAQVch.jpg,1.0,Labrador retriever,0.996709,True,Labrador retriever,0.00168821,True,Labrador retriever,0.0007116669999999999,True
7,667509364010450944,nan,nan,2015-11-20 01:06:48,This a Norwegian Pewterschmidt named Tickles. Ears for days. 12/10 I care deeply for Tickles https://t.co/0aDF62KVP7,https://twitter.com/dog_rates/status/667509364010450944/photo/1,12.0,Tickles,None,Twitter Web Client,7045,2235,https://pbs.twimg.com/media/CUN4Or5UAAAa5K4.jpg,1.0,Beagle,0.636169,True,Beagle,0.119256,True,Beagle,0.08254919999999999,True
8,667517642048163840,nan,nan,2015-11-20 01:39:42,This is Dook &amp; Milo. Dook is struggling to find who he really is and Milo is terrified of what that might be. 8/10s https://t.co/fh5KflzBR0,https://twitter.com/dog_rates/status/667517642048163840/photo/1,8.0,Dook,None,Twitter Web Client,382,199,https://pbs.twimg.com/media/CUN_wiBUkAAakT0.jpg,1.0,Italian greyhound,0.125176,True,Italian greyhound,0.08457150000000001,True,Italian greyhound,0.0813469,True
9,667524857454854144,nan,nan,2015-11-20 02:08:22,Another topnotch dog. His name is Big Jumpy Rat. Massive ass feet. Superior tail. Jumps high af. 12/10 great pup https://t.co/seESNzgsdm,https://twitter.com/dog_rates/status/667524857454854144/photo/1,12.0,Big,None,Twitter Web Client,1766,1178,https://pbs.twimg.com/media/CUOGUfJW4AA_eni.jpg,1.0,Hare,0.447893,False,Hare,0.0924353,False,Hare,0.08812239999999999,True
